Transfer emissions in MtCO₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d'Ivoire,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Romania,Russian Federation,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2016,,-1.2937,,,,,,-0.38799,-0.81075,,19.7533,-21.5158,1.2287,,11.7261,-44.8229,,-8.1234,-107.5525,,-2.3697,,,-0.94711,,,-7.276,0.74493,,1.4784,4.8676,0.013371,,-14.9993,-1.0154,6.9706,,,,,-4.5799,1076.0657,-16.1678,,,,-6.1066,-5.0306,,,-1.5154,-1.2822,-2.7493,,-18.0108,,,-9.296,-1.5571,-26.2435,-2.7652,,,0.32458,1.4062,,,,-11.9594,-119.476,,,,,-3.143,-112.1827,-7.9477,,-4.515,,,,2.9991,-2.7165,,,,1.9652,-79.3458,-13.6087,,350.4701,-0.51775,113.1528,,-4.5142,-26.6542,-105.8037,0.97049,-122.8783,-13.118,73.5219,-12.4213,,,-3.4091,-8.2852,8.7506,-5.2454,,,,,,-8.5484,0.15924,,-1.8136,0.20407,-5.5737,,,-14.0758,,,,-2.0891,-93.1818,,,1.9946,,,-7.6481,-7.0806,,-7.7456,,1.3199,-4.316,,-6.2635,-2.3852,,-8.9357,,,,-4.518,,-8.0918,-34.447,,10.6335,,-3.7585,-13.7692,-44.3057,18.7555,-4.9964,14.9715,,-2.9927,356.8161,-0.044802,,,,,,,,,1.2686,-4.3602,,,,-112.6491,-5.669,-3.5908,,,102.6826,-31.5037,-16.1322,-21.1686,,,,-27.0125,-131.5799,,-0.61329,-7.9215,-5.743,-1.3144,,0.018636,,11.4686,6.7193,-32.1743,,,,-1.9907,43.1291,-31.1068,-183.3253,-312.3981,-2.3399,,,47.721,47.6265,,,,-3.2844,-2.6505
2017,,-0.75939,,,,,,-6.1838,-0.86977,,17.3932,-19.014,1.6878,,11.5282,-47.4338,,-9.3628,-103.7484,,-2.0859,,,-1.0312,,,-5.6444,-9.482,,1.949,5.531,0.12648,,-13.6212,-0.82588,12.0556,,,,,-4.6715,1042.6118,-15.7105,,,,-6.3463,-4.5928,,,-2.1477,-3.7034,-2.7584,,-20.3454,,,-10.1697,-4.5719,-6.9978,-2.8191,,,1.4708,-5.9572,,,,-14.6607,-114.6509,,,,,-2.8566,-117.1956,-7.797,,-3.9486,,,,1.8737,-1.4694,,,,1.9509,-83.394,-16.4973,,313.5272,3.4404,128.5798,,-6.6168,-25.6388,-107.0712,1.1783,-104.7145,-8.1291,78.3274,-11.3261,,,-0.62305,-7.963,5.6349,-6.7333,,,,,,-9.0275,0.34519,,-1.9176,0.27184,-1.9036,,,-11.4235,,,,-2.4272,-96.383,,,3.9695,,,-5.6358,-5.7083,,-5.6858,,1.6071,-3.4342,,-5.0189,-2.1348,,-6.0716,,,,-4.9237,,-9.0455,-31.6185,,-10.0396,,-4.481,-13.5834,-43.4469,19.1666,-4.2949,27.2878,,-3.9969,357.5132,-0.72208,,,,,,,,,20.6895,-4.3782,,,,-119.3934,-3.3456,-4.7859,,,92.5682,-47.2785,-20.8019,-20.9698,,,,-28.6336,-97.0375,,-3.0143,-7.0566,-4.8417,-6.949,,0.12811,,15.5013,7.3965,-30.8589,,,,-2.1981,23.6129,-42.147,-170.9691,-330.7131,-2.9941,,,45.7306,55.6866,,,,-2.6525,-1.2215
2018,,-1.069,,,,,,-1.2111,-2.5553,,28.3997,-21.9134,-0.66433,,10.5957,-52.6782,,-11.1295,-111.6576,,-1.7385,,,-0.74996,,,-5.6166,-7.7543,,0.78772,2.3981,0.29589,,-15.8077,0.162,18.4713,,,,,-8.3175,903.3584,-15.5379,,,,-6.7543,-7.0246,,,-2.1145,-8.986,-3.9927,,-22.2703,,,-9.8916,-6.3367,-10.3537,-3.4396,,,-0.72864,-4.4347,,,,-15.7303,-132.9669,,,,,-4.3726,-133.3696,-6.4072,,-9.6329,,,,-5.6739,-2.0035,,,,1.7353,-81.6748,-17.3174,,356.1637,0.53601,138.3031,,-7.4013,-30.5953,-117.762,-0.22851,-135.7274,-8.4942,101.8401,-12.1934,,,-2.5603,-8.8242,6.5656,-8.019,,,,,,-10.4651,0.82219,,-1.6722,-0.96869,-3.3174,,,-15.3724,,,,-2.8446,-102.779,,,4.536,,,-6.1991,-5.4853,,-5.5534,,-22.7433,-7.2132,,-5.8863,-2.0174,,-7.0989,,,,-4.1888,,-7.1653,-29.4487,,-9.9841,,-4.6959,-14.5618,-44.7277,6.9488,-6.0643,26.6541,,-8.2574,459.1096,-1.2081,,,,,,,,,36.1949,-5.185,,,,-126.3822,-4.5697,-5.9914,,,98.3965,-79.062,-30.5956,-22.4956,,,,-29.2205,-90.2221,,-3.5089,-3.8009,-5.9332,-17.2099,,-5.8449,,17.393,0.16893,-24.4847,,,,-2.191,18.6163,-43.1524,-165.5171,-323.301,-3.155,,,93.9964,66.5212,,,,-1.9753,-1.1419
2019,,-1.0802,,,,,,7.7234,-1.8856,,31.2783,-18.6599,0.054864,,13.7595,-53.7885,,-10.0459,-104.6826,,-1.6618,,,-0.8786,,,-6.23,-9.2618,,1.3711,2.2618,0.5262,,-16.9299,0.30477,29.8664,,,,,-5.9907,946.4307,-13.4878,,,,-6.6914,-6.2479,,,-1.931,-9.911,-3.8668,,-22.0736,,,-8.8968,-6.398,-12.3104,-2.9412,,,-2.9669,-4.3367,,,,-14.1416,-126.322,,,,,-3.4741,-137.7533,-5.4456,,-9.5775,,,,-5.3485,-2.0198,,,,1.8957,-81.8092,-15.9165,,343.8814,0.83938,112.5626,,-9.0285,-29.4725,-110.8723,0.32636,-143.6181,-8.0928,84.7894,-12.0413,,,-3.4764,-8.4518,4.9141,-7.4397,,,,,,-8.7763,1.2862,,-1.613,-1.0155,2.4411,,,-14.2183,,,,-2.8025,-94.6808,,,5.5418,,,-3.9342,-5.8533,,-5.614,,-22.0328,-9.9113,,-5.3341,-1.8248,,-4.4346,,,,-5.4312,,-6.5547,-28.5474,,-6.3,,-4.897,-14.0688,-43.7855,7.7891,-6.4692,23.5269,,-8.4556,418.1343,-1.2872,,,,,,,,,36.1415,-4.4628,,,,-126.6589,-4.9536,-5.9827,,,103.2467,-89.444,-33.4179,-22.0607,,,,-26.2266,-87.1866,,-12.5391,-3.1687,-5.0701,-21.7934,,-5.6284,,15.0016,0.51757,-12.2627,,,,-2.0091,12.818,-32.6576,-159.9808,-344.1646,-3.1267,,,62.4394,94.4489,,,,-2.2958,-1.3599
2020,,-1.1084,,,,,,4.5399,-1.7548,,24.2148,-16.624,-1.7332,,13.436,-52.9041,,-7.3301,-91.0845,,-1.921,,,-1.6215,,,-6.4548,10.846,,2.0022,0.29245,0.83891,,-16.2661,-0.21226,21.2799,,,,,-2.9329,1097.6031,-13.1938,,,,-5.5526,-6.1291,,,-1.3018,-10.1303,-3.3481,,-20.0533,,,-7.8768,-5.1222,-13.6466,-2.8974,,,-3.7343,-4.219,,,,-13.4133,-117.4423,,,,,-3.8399,-130.4471,-4.7997,,-13.0068,,,,-4.7902,-1.5241,,,,1.6227,-86.3525,-13.3685,,337.5999,-6.5256,93.6344,,-4.7382,-25.243,-99.6369,-1.0364,-146.4946,-8.3189,63.2767,-11.2479,,,-7.5919,-7.8927,4.1923,-6.4246,,,,,,-7.0367,0.81097,,-1.7997,-1.065,-0.80138,,,-11.9491,,,,-2.875,-73.114,,,4.9348,,,-3.1975,-5.8316,,-5.3509,,-20.4019,-9.878,,-7.1998,-1.4573,,-12.279,,,,-5.3734,,-6.9066,-25.1103,,-11.7568,,-4.6085,-14.0352,-44.0363,13.9579,-7.0475,22.3811,,-7.0356,353.2965,-1.1143,,,,,,,,,4.7158,-4.7809,,,,-108.9034,-4.7595,-5.5542,,,99.9594,-84.4035,-40.0996,-21.4408,,,,-23.4978,-75.463,,-5.7193,-2.1321,-5.4899,-28.1544,,-4.7889,,9.3341,-0.087246,-4.8699,,,,-1.9112,12.5945,-6.5125,-143.6289,-413.1305,-2.898,,,8.9816,102.7061,,,,0.11439,-1.9911
2021,,-1.061,,,,,,7.9215,-1.9208,,25.3372,-19.7475,-0.41657,,15.9905,-59.3802,,-9.4371,-106.8942,,-2.2694,,,-1.1861,,,-6.7788,23.2132,,3.7894,1.4333,0.95888,,-15.9185,-0.4659,13.5395,,,,,-7.4715,1196.4115,-13.2121,,,,-6.3453,-6.3271,,,-1.6567,-14.148,-3.5809,,-24.0078,,,-8.7796,-5.6476,-24.531,-3.1664,,,-3.9167,-4.8636,,,,-16.9771,-132.9214,,,,,-4.6887,-156.076,-6.1377,,-14.0466,,,,-5.2007,-1.7775,,,,1.8427,-99.1292,-17.0776,,423.749,5.452,116.8962,,-4.5278,-31.4937,-115.8783,-0.89862,-161.3245,-9.4519,53.5709,-12.9517,,,-8.2486,-8.6732,9.3207,-7.7372,,,,,,-8.7896,0.4157,,-1.9493,-1.2584,-0.79988,,,-14.6383,,,,-3.3748,-92.2817,,,2.4149,,,-4.1158,-6.0661,,-6.2026,,-25.7076,-19.4029,,-9.1665,-1.6829,,-9.3507,,,,-1.1722,,-6.1762,-29.4489,,-9.4787,,-5.61,-12.8299,-51.484,16.5487,-10.1076,29.9358,,-8.4477,436.3834,-1.2807,,,,,,,,,26.1095,-5.1585,,,,-126.9542,-4.6354,-7.1057,,,111.4241,-101.5174,-46.4491,-24.9192,,,,-27.6117,-84.8862,,-7.7527,-1.8913,-6.2858,-42.2024,,-5.7366,,15.6736,0.0001468,9.3804,,,,-2.3359,7.6301,-27.4125,-175.2485,-469.5514,-2.7188,,,14.1952,91.8756,,,,-0.54646,-2.1365
2022,,-1.1881,,,,,,-0.077622,-1.026,,18.9988,-21.7014,3.4193,,19.0004,-64.0247,,-11.2074,-118.1833,,-2.5043,,,-0.58959,,,-6.6762,14.8158,,4.381,4.6846,0.76938,,-17.1861,-0.21372,17.3983,,,,,-6.6413,1284.774,-14.4386,,,,-6.6451,-6.2814,,,-1.8118,-16.3728,-3.7323,,-23.5279,,,-9.6549,-5.0297,-17.7903,-3.0937,,,-2.6722,-5.3704,,,,-16.4276,-142.1455,,,,,-3.9164,-170.9702,-6.2024,,-13.7263,,,,-5.9012,-2.3389,,,,2.0441,-114.476,-17.3757,,491.1402,48.7933,134.9114,,-6.237,-32.4684,-121.6867,-0.53175,-171.8245,-9.4745,86.8071,-13.9844,,,0.052324,-9.3492,14.134,-7.6656,,,,,,-9.2069,-0.71795,,-1.9815,-1.3952,-1.9148,,,-14.3445,,,,-3.4113,-103.7743,,,3.9577,,,-1.6062,-5.5267,,-6.3488,,-28.5905,-29.8761,,-10.6022,-1.8678,,-8.1573,,,,5.9433,,-3.1972,-33.3747,,-7.8081,,-6.1468,-13.96,-54.0911,15.3325,-10.1478,39.6388,,-10.3701,396.0514,-1.443,,,,,,,,,39.1798,-4.928,,,,-146.6442,-6.1019,-7.8915,,,110.4589,-115.7924,-44.3741,-27.4768,,,,-29.9971,-92.7182,,-21.8368,-3.2514,-6.0969,-46.974,,-6.1467,,20.6588,0.72827,1.2223,,,,-2.8976,-25.0864,-45.5501,-191.6524,-510.5858,-3.1848,,,18.7299,94.7559,,,,-0.78898,-1.3801
2023,,-0.96468,,,,,,-7.2591,-0.24362,,12.1647,-19.5596,1.9097,,16.723,-63.3324,,-6.8118,-111.902,,-2.5059,,,-1.0079,,,-7.2603,14.0032,,3.6263,-0.80894,0.50724,,-17.6526,-0.68896,25.536,,,,,-10.5523,1314.9844,-14.4726,,,,-6.2192,-5.2436,,,-1.4363,-16.7933,-3.8122,,-20.6402,,,-8.6098,-4.2981,-3.1978,-2.5855,,,-3.8408,-5.6758,,,,-15.663,-137.102,,,,,-3.4438,-174.7151,-6.2374,,-15.2024,,,,-5.7134,-2.5236,,,,1.9461,-111.2067,-16.3839,,519.5409,34.1908,121.0958,,-7.2659,-32.9378,-116.7172,-0.26538,-155.3893,-8.6973,73.5179,-13.7943,,,0.82303,-8.0488,9.3322,-6.772,,,,,,-8.0098,-0.49125,,-1.9726,-1.3803,-10.2114,,,-12.5284,,,,-3.3256,-106.7153,,,7.579,,,-0.95234,-5.3346,,-6.2028,,-28.9315,-33.132,,-9.8361,-1.7449,,-3.9078,,,,-0.10088,,-3.5492,-33.2451,,-6.515,,-5.4793,-12.8194,-50.6121,9.3877,-9.8379,37.3162,,-10.3854,327.153,-1.5012,,,,,,,,,23.3377,-4.9508,,,,-135.8581,-4.2687,-7.7231,,,111.2229,-119.686,-45.1547,-27.2732,,,,-25.013,-86.3521,,-27.675,-2.7565,-5.4779,-40.8335,,-5.9763,,13.1839,1.5589,3.914,,,,-2.5658,-26.9802,-37.6432,-179.2736,-513.2522,-3.1549,,,19.0722,99.6113,,,,-0.87445,-1.8762
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer,"<b>For sources and methods, see Andrew and Peters (2023), Friedlingstein et al. (2025), and Peters et al. (2011).</b><br /><br /><br />Friedlingstein, P., O'Sullivan, M., Jones, M. W., Andrew, R. M., Bakker, D. C. E., Hauck, J., Landschützer, P., Le Quéré, C., Luijkx, I. T., Peters, G. P., Peters, W., Pongratz, J., Schwingshackl, C., Sitch, S., Canadell, J. G., Ciais, P., Jackson, R. B., Alin, S. R., Anthoni, P., Barbero, L., Bates, N. R., Becker, M., Bellouin, N., Decharme, B., Bopp, L., Brasika, I. B. M., Cadule, P., Chamberlain, M. A., Chandra, N., Chau, T.-T.-T., Chevallier, F., Chini, L. P., Cronin, M., Dou, X., Enyo, K., Evans, W., Falk, S., Feely, R. A., Feng, L., Ford, D. J., Gasser, T., Ghattas, J., Gkritzalis, T., Grassi, G., Gregor, L., Gruber, N., Gürses, Ö., Harris, I., Hefner, M., Heinke, J., Houghton, R. A., Hurtt, G. C., Iida, Y., Ilyina, T., Jacobson, A. R., Jain, A., Jarníková, T., Jersild, A., Jiang, F., Jin, Z., Joos, F., Kato, E., Keeling, R. F., Kennedy, D., Klein Goldewijk, K., Knauer, J., Korsbakken, J. I., Körtzinger, A., Lan, X., Lefèvre, N., Li, H., Liu, J., Liu, Z., Ma, L., Marland, G., Mayot, N., McGuire, P. C., McKinley, G. A., Meyer, G., Morgan, E. J., Munro, D. R., Nakaoka, S.-I., Niwa, Y., O'Brien, K. M., Olsen, A., Omar, A. M., Ono, T., Paulsen, M. E., Pierrot, D., Pocock, K., Poulter, B., Powis, C. M., Rehder, G., Resplandy, L., Robertson, E., Rödenbeck, C., Rosan, T. M., Schwinger, J., Séférian, R., Smallman, T. L., Smith, S. M., Sospedra-Alfonso, R., Sun, Q., Sutton, A. J., Sweeney, C., Takao, S., Tans, P. P., Tian, H., Tilbrook, B., Tsujino, H., Tubiello, F., van der Werf, G. R., van Ooijen, E., Wanninkhof, R., Watanabe, M., Wimart-Rousseau, C., Yang, D., Yang, X., Yuan, W., Yue, X., Zaehle, S., Zeng, J., and Zheng, B.: Global Carbon Budget 205, Earth Syst. Sci. Data. , 2025.<br /> Available at: <a href=""https://doi.org/10.5194/essd-2023-409"" target=""_blank""> https://doi.org/10.5194/essd-2023-409</a><br /><br />Andrew, R.M. and Peters, G.P. (2023): The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. Available at: <a href=""https://zenodo.org/doi/10.5281/zenodo.5569234"" target=""_blank"">Andrew and Peters, 2023.</a><br /><br />Peters, G.P., Minx, J.C., Weber, C.L., and O. Edenhofer (2011), Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences (PNAS), 108(21), 8903-8908, Available at: <a href=""https://doi.org/10.1073/pnas.1006388108"" target=""_blank"">Peters et al., 2011.</a><br /><br />The use of data is conditional on citing the original data sources. <br /><br />Data for years 2021 and 2022 are preliminary.<br /><br />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
